nb vectors,nb trees,db size in bytes,recall score,recall@1,recall@10,recall@20,recall@50,recall@100,recall@500
512,1,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,8,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,32,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,64,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,128,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,256,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,512,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,1024,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,2048,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
512,4096,8413184,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,1,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,8,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,32,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,64,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,128,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,256,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,512,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,1024,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,2048,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1024,4096,16822272,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,1,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,8,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,32,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,64,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,128,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,256,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,512,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,1024,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,2048,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2048,4096,33636352,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,1,67268608,0.74,1.00,0.73,0.70,0.69,0.68,0.62
4096,8,67473408,0.86,1.00,0.85,0.84,0.81,0.77,0.90
4096,32,68169728,0.95,1.00,0.92,0.90,0.89,0.96,1.00
4096,64,69099520,0.97,1.00,0.94,0.91,0.98,0.99,1.00
4096,128,70955008,0.99,1.00,0.95,0.99,1.00,1.00,1.00
4096,256,74674176,1.00,1.00,0.99,1.00,1.00,1.00,1.00
4096,512,82092032,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,1024,96915456,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,2048,126660608,1.00,1.00,1.00,1.00,1.00,1.00,1.00
4096,4096,186032128,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,1,134533120,0.57,1.00,0.56,0.52,0.48,0.45,0.41
8192,8,135057408,0.76,1.00,0.73,0.71,0.67,0.65,0.79
8192,32,136822784,0.87,1.00,0.82,0.78,0.76,0.88,0.99
8192,64,139296768,0.91,1.00,0.82,0.80,0.91,0.96,1.00
8192,128,144044032,0.96,1.00,0.87,0.91,0.97,0.99,1.00
8192,256,153653248,0.98,1.00,0.93,0.98,0.99,1.00,1.00
8192,512,172711936,1.00,1.00,0.99,0.99,1.00,1.00,1.00
8192,1024,210980864,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,2048,287186944,1.00,1.00,1.00,1.00,1.00,1.00,1.00
8192,4096,439500800,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16384,1,269066240,0.42,1.00,0.39,0.33,0.30,0.28,0.24
16384,8,270262272,0.60,1.00,0.58,0.54,0.47,0.43,0.60
16384,32,274354176,0.76,1.00,0.68,0.62,0.59,0.72,0.93
16384,64,279752704,0.83,1.00,0.69,0.65,0.80,0.87,0.99
16384,128,290385920,0.91,1.00,0.76,0.81,0.91,0.97,1.00
16384,256,311443456,0.96,1.00,0.85,0.93,0.99,1.00,1.00
16384,512,353988608,0.99,1.00,0.94,0.99,1.00,1.00,1.00
16384,1024,439361536,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16384,2048,609169408,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16384,4096,949768192,1.00,1.00,1.00,1.00,1.00,1.00,1.00
32768,1,538148864,0.40,1.00,0.36,0.32,0.28,0.25,0.21
32768,8,540602368,0.52,1.00,0.49,0.44,0.38,0.36,0.47
32768,32,549007360,0.67,1.00,0.57,0.52,0.48,0.61,0.85
32768,64,560058368,0.76,1.00,0.61,0.56,0.68,0.76,0.96
32768,128,582324224,0.85,1.00,0.65,0.69,0.83,0.91,0.99
32768,256,627036160,0.92,1.00,0.75,0.86,0.95,0.98,1.00
32768,512,717258752,0.97,1.00,0.90,0.96,0.99,1.00,1.00
32768,1024,896843776,0.99,1.00,0.96,0.99,1.00,1.00,1.00
32768,2048,1256767488,1.00,1.00,0.99,1.00,1.00,1.00,1.00
32768,4096,1974579200,1.00,1.00,1.00,1.00,1.00,1.00,1.00
65536,1,1076260864,0.35,1.00,0.31,0.25,0.21,0.19,0.14
65536,8,1081266176,0.45,1.00,0.41,0.34,0.29,0.26,0.37
65536,32,1098559488,0.58,1.00,0.46,0.39,0.37,0.48,0.75
65536,64,1121693696,0.66,1.00,0.49,0.42,0.54,0.63,0.90
65536,128,1167785984,0.79,1.00,0.56,0.59,0.75,0.85,0.98
65536,256,1259638784,0.88,1.00,0.68,0.77,0.89,0.95,1.00
65536,512,1443799040,0.95,1.00,0.84,0.91,0.97,0.99,1.00
65536,1024,1812983808,0.99,1.00,0.95,0.98,1.00,1.00,1.00
65536,2048,2551439360,1.00,1.00,0.99,1.00,1.00,1.00,1.00
65536,4096,4027441152,1.00,1.00,1.00,1.00,1.00,1.00,1.00
131072,1,2152443904,0.30,1.00,0.25,0.19,0.14,0.12,0.09
131072,8,2162819072,0.39,1.00,0.34,0.29,0.23,0.20,0.26
131072,32,2198188032,0.51,1.00,0.40,0.33,0.29,0.40,0.63
131072,64,2245435392,0.62,1.00,0.44,0.39,0.49,0.58,0.84
131072,128,2339672064,0.73,1.00,0.46,0.53,0.65,0.76,0.95
131072,256,2527358976,0.84,1.00,0.63,0.69,0.83,0.91,0.99
131072,512,2903932928,0.92,1.00,0.76,0.86,0.94,0.98,1.00
131072,1024,3652317184,0.97,1.00,0.91,0.95,0.99,0.99,1.00
131072,2048,5153398784,0.99,1.00,0.97,0.99,1.00,1.00,1.00
131072,4096,8155852800,1.00,1.00,0.99,1.00,1.00,1.00,1.00
262144,1,4304998400,0.28,1.00,0.22,0.16,0.12,0.10,0.08
262144,8,4325875712,0.36,1.00,0.30,0.24,0.19,0.17,0.23
262144,32,4397338624,0.48,1.00,0.37,0.31,0.27,0.36,0.59
262144,64,4492140544,0.59,1.00,0.39,0.33,0.47,0.54,0.79
262144,128,4682100736,0.69,1.00,0.43,0.48,0.61,0.72,0.92
262144,256,5060984832,0.81,1.00,0.56,0.66,0.80,0.87,0.98
262144,512,5819879424,0.91,1.00,0.74,0.85,0.93,0.96,1.00
262144,1024,7334567936,0.97,1.00,0.89,0.94,0.98,0.99,1.00
262144,2048,10366906368,0.99,1.00,0.96,0.98,1.00,1.00,1.00
262144,4096,16433000448,1.00,1.00,0.99,1.00,1.00,1.00,1.00
524288,1,8609771520,0.26,1.00,0.18,0.14,0.10,0.08,0.06
