nb vectors,nb trees,db size in bytes,recall score,recall@1,recall@10,recall@20,recall@50,recall@100,recall@500
512,1,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,8,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,32,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,64,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,128,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,256,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,512,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,1024,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,2048,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
512,4096,2121728,0.99,0.96,0.98,1.00,1.00,1.00,1.00
1024,1,4239360,0.77,0.97,0.74,0.74,0.69,0.66,0.79
1024,8,4333568,0.96,0.97,0.93,0.94,0.96,0.98,1.00
1024,32,4640768,0.98,0.97,0.95,0.99,0.99,1.00,1.00
1024,64,5103616,0.99,0.97,0.96,0.99,1.00,1.00,1.00
1024,128,5988352,0.99,0.97,0.97,1.00,1.00,1.00,1.00
1024,256,7741440,0.99,0.97,0.97,1.00,1.00,1.00,1.00
1024,512,11399168,0.99,0.97,0.97,1.00,1.00,1.00,1.00
1024,1024,18464768,0.99,0.97,0.97,1.00,1.00,1.00,1.00
1024,2048,32661504,0.99,0.97,0.97,1.00,1.00,1.00,1.00
1024,4096,61407232,0.99,0.97,0.97,1.00,1.00,1.00,1.00
2048,1,8491008,0.60,0.98,0.57,0.55,0.51,0.48,0.48
2048,8,8667136,0.83,0.98,0.75,0.76,0.75,0.81,0.94
2048,32,9338880,0.92,0.98,0.83,0.85,0.93,0.95,1.00
2048,64,10260480,0.96,0.98,0.88,0.93,0.98,0.98,1.00
2048,128,12214272,0.97,0.98,0.92,0.95,0.99,1.00,1.00
2048,256,16056320,0.98,0.98,0.95,0.97,1.00,1.00,1.00
2048,512,23355392,0.99,0.98,0.96,0.98,1.00,1.00,1.00
2048,1024,38445056,0.99,0.98,0.96,0.98,1.00,1.00,1.00
2048,2048,68390912,0.99,0.98,0.96,0.98,1.00,1.00,1.00
2048,4096,129814528,0.99,0.98,0.96,0.98,1.00,1.00,1.00
4096,1,16965632,0.48,0.99,0.45,0.40,0.37,0.32,0.35
4096,8,17383424,0.71,0.99,0.63,0.58,0.57,0.65,0.86
4096,32,18792448,0.86,0.99,0.74,0.72,0.83,0.88,0.98
4096,64,20656128,0.91,0.99,0.78,0.81,0.91,0.95,1.00
4096,128,24489984,0.94,0.99,0.86,0.88,0.95,0.97,1.00
4096,256,31891456,0.97,0.99,0.92,0.93,0.98,0.99,1.00
4096,512,47263744,0.98,0.99,0.95,0.94,0.98,0.99,1.00
4096,1024,77946880,0.98,0.99,0.96,0.95,0.99,1.00,1.00
4096,2048,139231232,0.98,0.99,0.96,0.96,0.99,1.00,1.00
4096,4096,261513216,0.98,0.99,0.96,0.96,0.99,1.00,1.00
8192,1,33906688,0.53,0.99,0.51,0.47,0.44,0.40,0.34
8192,8,34680832,0.69,0.99,0.62,0.59,0.57,0.58,0.77
8192,32,37462016,0.81,0.99,0.67,0.70,0.75,0.80,0.95
8192,64,41086976,0.87,0.99,0.73,0.79,0.86,0.88,0.98
8192,128,48594944,0.92,0.99,0.82,0.85,0.91,0.93,0.99
8192,256,63574016,0.95,0.99,0.89,0.92,0.95,0.97,1.00
8192,512,93765632,0.97,0.99,0.92,0.95,0.97,0.99,1.00
8192,1024,153849856,0.98,0.99,0.94,0.96,0.98,0.99,1.00
8192,2048,272920576,0.98,0.99,0.96,0.97,0.98,0.99,1.00
8192,4096,511537152,0.98,0.99,0.97,0.97,0.98,1.00,1.00
16384,1,67809280,0.40,0.95,0.37,0.33,0.28,0.25,0.24
16384,8,69419008,0.55,0.97,0.49,0.41,0.37,0.43,0.60
16384,32,74907648,0.71,0.97,0.57,0.56,0.61,0.67,0.87
16384,64,82440192,0.79,0.97,0.63,0.69,0.73,0.77,0.95
16384,128,97046528,0.86,0.97,0.74,0.77,0.83,0.86,0.98
16384,256,126308352,0.91,0.97,0.84,0.85,0.88,0.92,0.99
16384,512,185475072,0.94,0.97,0.90,0.90,0.92,0.95,1.00
16384,1024,303022080,0.97,0.97,0.94,0.95,0.96,0.97,1.00
16384,2048,540307456,0.98,0.97,0.97,0.97,0.97,0.98,1.00
16384,4096,1011826688,0.98,0.97,0.98,0.97,0.98,0.98,1.00
32768,1,135520256,0.28,0.67,0.24,0.21,0.19,0.17,0.17
32768,8,138895360,0.52,0.93,0.45,0.40,0.36,0.42,0.58
32768,32,149946368,0.69,0.93,0.55,0.54,0.60,0.64,0.85
32768,64,164265984,0.76,0.93,0.59,0.64,0.72,0.76,0.92
32768,128,193388544,0.85,0.93,0.74,0.76,0.82,0.86,0.97
32768,256,252313600,0.89,0.93,0.81,0.82,0.88,0.91,0.99
32768,512,369254400,0.92,0.93,0.86,0.88,0.92,0.94,0.99
32768,1024,603246592,0.94,0.93,0.89,0.92,0.94,0.96,1.00
32768,2048,1070981120,0.95,0.93,0.92,0.93,0.95,0.97,1.00
32768,4096,2010181632,0.95,0.93,0.93,0.94,0.96,0.97,1.00
65536,1,271081472,0.29,0.77,0.28,0.23,0.18,0.15,0.15
65536,8,277409792,0.46,0.95,0.41,0.35,0.29,0.32,0.46
65536,32,299237376,0.61,0.96,0.44,0.44,0.52,0.56,0.74
65536,64,328413184,0.71,0.96,0.51,0.59,0.64,0.67,0.86
65536,128,386633728,0.80,0.96,0.66,0.71,0.76,0.79,0.93
65536,256,503603200,0.86,0.96,0.76,0.78,0.85,0.85,0.96
65536,512,736985088,0.91,0.96,0.85,0.88,0.90,0.90,0.98
65536,1024,1201426432,0.94,0.96,0.90,0.92,0.94,0.93,0.98
65536,2048,2131337216,0.96,0.96,0.94,0.95,0.96,0.95,0.99
65536,4096,3994415104,0.96,0.96,0.95,0.96,0.97,0.95,0.99
131072,1,542089216,0.27,0.69,0.25,0.20,0.17,0.16,0.14
131072,8,554590208,0.46,0.98,0.38,0.32,0.30,0.33,0.43
131072,32,598175744,0.60,0.98,0.42,0.42,0.49,0.54,0.71
131072,64,656265216,0.70,0.98,0.54,0.57,0.61,0.66,0.84
131072,128,772304896,0.78,0.98,0.64,0.69,0.72,0.76,0.90
131072,256,1004388352,0.85,0.98,0.76,0.79,0.80,0.83,0.95
131072,512,1468633088,0.90,0.98,0.86,0.86,0.86,0.88,0.97
131072,1024,2395508736,0.94,0.98,0.92,0.92,0.91,0.92,0.98
131072,2048,4249382912,0.95,0.98,0.94,0.94,0.94,0.94,0.98
131072,4096,7947378688,0.96,0.98,0.96,0.96,0.95,0.95,0.98
262144,1,1084170240,0.23,0.79,0.18,0.14,0.10,0.09,0.07
